location_name	location_type	lat	long
Glacier	sampling	-126.3386	50.8427
Burdwood	sampling	-126.5124	50.7956
Wicklow	sampling	-126.7004	50.7779
Noo-la	farm	-126.377	50.6056
Tsa-ya	farm	-126.3321	50.6123
Wa-kwa	farm	-126.3474	50.6011
